,codigoFipe,marca,modelo,anoModelo,mesReferencia,anoReferencia,valor
377667,025231-0,Renault,DUSTER OROCH Dyna. 1.6 Flex 16V Mec.,2022,7,2016,69637.0
377668,025005-8,Renault,Clio RT 1.6 5p,2022,6,2003,27783.0
377669,025236-0,Renault,SANDERO STEP. Easy R R.CURL H.P. 1.6 5p,2017,8,2022,52993.0
377670,025092-9,Renault,Megane Sedan Privilège 2.0 16V Aut,2022,2,2007,56251.0
377671,025102-0,Renault,Clio Sed. Authentique Hi-Flex 1.6 16V 4p,2022,7,2007,36958.0
377672,025236-0,Renault,SANDERO STEP. Easy R R.CURL H.P. 1.6 5p,2017,7,2020,41705.0
377673,025308-1,Renault,CAPTUR Zen 1.3 TB 16V Flex 5p Aut.,2022,8,2021,125965.0
377674,025085-6,Renault,Clio Expression 1.0 8V 60cv 3p,2006,2,2014,14940.0
377675,025040-6,Renault,Kangoo RN/Expression 1.6 16V/1.6 8V 5p,2007,3,2013,23988.0
377676,025006-6,Renault,Laguna RT 2.0,1998,5,2014,10642.0
377677,025062-7,Renault,Scénic RT 2.0 16V 5p Mec.,2003,2,2009,30022.0
377679,025075-9,Renault,Clio RL Alizé/ Authent. 1.6 16V 110cv 5p,2022,10,2003,26132.0
377680,025116-0,Renault,Clio Sed. Authentique Hi-Flex 1.0 16V 4p,2009,6,2015,18920.0
377682,025042-2,Renault,Megane Sedan RT/Alizé 1.6 16V,2001,7,2016,11395.0
377683,025008-2,Renault,21 Nevada TXE 2.2,1994,10,2020,4486.0
377684,025065-1,Renault,Twingo Pack 1.0 16V 70cv,2022,3,2004,24162.0
377685,025108-9,Renault,Scénic Privilège Hi-Flex 1.6 16V,2011,6,2014,33444.0
377686,025279-4,Renault,KWID OUTSIDER 1.0 Flex 12V 5p Mec.,2022,4,2022,68778.0
377687,025095-3,Renault,Clio Hi-Flex 1.6 16V 3p,2006,7,2019,13830.0
377688,025134-8,Renault,Kangoo Authentique Hi-Flex 1.6 16V,2011,2,2019,24391.0
377689,025174-7,Renault,FLUENCE Sed. Dynamique 2.0 16V FLEX Aut.,2022,7,2016,77410.0
377690,025187-9,Renault,SANDERO STEPWAY Hi-Flex 1.6 16V 5p Aut.,2022,4,2012,49841.0
377691,025114-3,Renault,Clio Expression Hi-Flex 1.0 16V 5p,2008,1,2015,17339.0
377692,025008-2,Renault,21 Nevada TXE 2.2,1994,9,2004,8944.0
377693,025023-6,Renault,Safrane RXE,1995,4,2014,10760.0
377694,025111-9,Renault,Clio Authentique Hi-Flex 1.0 16V 3p,2022,3,2006,28856.0
377695,025030-9,Renault,Twingo Easy 1.2,1995,5,2015,5443.0
377696,025073-2,Renault,Kangoo RT 1.0 16V 70cv 5p,2004,5,2020,14657.0
377697,025154-2,Renault,Megane Sed. Expression 2.0 16V Mec.,2010,1,2022,28224.0
377698,025002-3,Renault,19 RN,1998,5,2009,9598.0
377699,025028-7,Renault,Clio RN 1.6 5p,2002,7,2010,15790.0
377700,025047-3,Renault,Trafic Furgão 2.0 98cv,2002,7,2009,26968.0
377701,025209-3,Renault,DUSTER TECHROAD 4X4 2.0 16V Mec.,2022,1,2017,70924.0
377702,025040-6,Renault,Kangoo RN/Expression 1.6 16V/1.6 8V 5p,2007,2,2020,18161.0
377705,025053-8,Renault,Clio SI 1.6 16V 4p,2003,11,2018,13617.0
377706,025182-8,Renault,DUSTER Expression 1.6 Hi-Flex 16V Mec.,2020,2,2022,81708.0
377707,025048-1,Renault,Clio RN/ Expression 1.6 16V 5p,2005,8,2008,27859.0
377709,025221-2,Renault,DUSTER OUTDOOR 1.6 Hi-Flex 16V Mec.,2015,8,2018,45530.0
377710,025064-3,Renault,Scénic RXE/ Privilège 2.0 16V 5p Aut.,2009,1,2015,28077.0
377711,025050-3,Renault,Clio Sedan RN/ Expression 1.6 16V 4p,2005,2,2020,12599.0
377712,025132-1,Renault,Kangoo Expression Hi-Flex 1.6 16V 5p,2008,2,2018,21521.0
377713,025036-8,Renault,Trafic Van 2.2,1998,5,2022,15666.0
377714,025037-6,Renault,Twingo Pack 1.0 8V,2001,11,2007,16421.0
377716,025106-2,Renault,Kangoo Authentique 1.6 16V 95cv,2007,9,2012,22727.0
377717,025004-0,Renault,Clio RL 1.6 3p/5p,2000,12,2017,9652.0
377718,025135-6,Renault,LOGAN Authentique Hi-Flex 1.0 16V 4p,2016,10,2017,34390.0
377720,025081-3,Renault,Clio Authentique 1.0 8V 3p,2022,11,2003,21891.0
377721,025135-6,Renault,LOGAN Authentique Hi-Flex 1.0 16V 4p,2022,1,2011,29098.0
377723,025023-6,Renault,Safrane RXE,1995,3,2013,11588.0
377724,025167-4,Renault,SYMBOL Expression Hi-Flex 1.6 8V 4p,2011,4,2016,21764.0
377725,025147-0,Renault,Megane Coupé Cabriolet Dynamique 2.0 Aut,2009,5,2017,59377.0
377726,025017-1,Renault,Megane Sedan RXE/Egeus 2.0,2001,3,2013,14599.0
377727,025152-6,Renault,SANDERO NOKIA Hi-Flex 1.6 16V 5p,2022,1,2009,48433.0
377728,025169-0,Renault,Clio Hi-Flex 1.0 16V 3p,2012,4,2017,16882.0
377729,025124-0,Renault,Clio Sedan Egeus Hi-Flex 1.6 16V 4p,2007,11,2020,14562.0
377730,025014-7,Renault,Megane Hatch RT 1.6/RT/Alizé/Exp 1.6 16V,2005,6,2007,36026.0
377731,025308-1,Renault,CAPTUR Zen 1.3 TB 16V Flex 5p Aut.,2022,10,2021,125061.0
377732,025108-9,Renault,Scénic Privilège Hi-Flex 1.6 16V,2022,11,2005,59869.0
377733,025221-2,Renault,DUSTER OUTDOOR 1.6 Hi-Flex 16V Mec.,2015,5,2021,43109.0
377734,025073-2,Renault,Kangoo RT 1.0 16V 70cv 5p,2004,3,2006,33626.0
377735,025134-8,Renault,Kangoo Authentique Hi-Flex 1.6 16V,2022,12,2010,48860.0
377736,025115-1,Renault,Clio Privilège Hi-Flex 1.0 16V 5p,2007,9,2016,16258.0
377737,025128-3,Renault,Kangoo Expres.SPORTWAY 1.6/1.6 Hi-Flex,2011,8,2018,30097.0
377738,025135-6,Renault,LOGAN Authentique Hi-Flex 1.0 16V 4p,2022,5,2012,28745.0
377739,025028-7,Renault,Clio RN 1.6 5p,2022,12,2003,26553.0
377740,025172-0,Renault,SANDERO GT line Hi-Flex 1.6 16V 4p,2011,1,2021,21505.0
377741,025189-5,Renault,SANDERO STEPWAY Hi-Power 1.6 8V 5p,2022,1,2015,49360.0
377742,025066-0,Renault,Twingo Initiale 1.0 16V 70cv,2002,4,2022,11665.0
377744,025080-5,Renault,Laguna Grand Tour Privilège 3.0 V6 210cv,2003,9,2011,41257.0
377745,025023-6,Renault,Safrane RXE,1995,7,2009,16840.0
377747,025084-8,Renault,Master 2.8 DTI Chassi 114cv Diesel,2004,5,2009,49832.0
377748,025042-2,Renault,Megane Sedan RT/Alizé 1.6 16V,2022,10,2002,30793.0
377749,025039-2,Renault,Kangoo RN 1.0 8V,2002,12,2006,22262.0
377750,025034-1,Renault,21 TXE/ TXi 2.2,1994,3,2006,8254.0
377751,025188-7,Renault,SANDERO STEPWAY Hi-F. R. CURL 1.6 16V 5p,2013,11,2014,36116.0
377752,025041-4,Renault,Kangoo RL 1.6 8V,2003,7,2016,15460.0
377753,025120-8,Renault,Megane Sedan Dynamique Hi-Flex 1.6 16V,2022,1,2012,49397.0
377754,025213-1,Renault,SANDERO Dynamique Hi-Power 1.6 8V 5p,2017,6,2021,40179.0
377755,025096-1,Renault,Clio Hi-Flex/ Expres. Hi-Flex 1.6 16V 5p,2022,9,2009,31694.0
377756,025042-2,Renault,Megane Sedan RT/Alizé 1.6 16V,2022,10,2001,32823.0
377757,025122-4,Renault,Clio GetUp Hi-Flex 1.0 16V 5p,2009,11,2020,16244.0
377758,025145-3,Renault,SANDERO Privilège Hi-Flex 1.6 8V 5p,2014,1,2022,34107.0
377759,025061-9,Renault,Clio RL/ JP/Auth.1.0/1.0 Hi-Power 16V 5p,2022,5,2004,26119.0
377760,025043-0,Renault,Megane Hatch RXE/Egeus 1.6 16V,2001,2,2008,22006.0
377761,025038-4,Renault,Kangoo RL 1.0 8V,2002,4,2019,11652.0
377762,025058-9,Renault,Scénic RXE/ Privilège 1.6 16V Mec.,2005,1,2014,20900.0
377763,025135-6,Renault,LOGAN Authentique Hi-Flex 1.0 16V 4p,2017,10,2018,35900.0
377764,025126-7,Renault,Megane Sedan Dynamique 2.0 16V Mec.,2022,7,2006,66916.0
377765,025044-9,Renault,Kangoo Express RL/ Express 1.0 16V/8V,2005,7,2009,22214.0
377766,025051-1,Renault,Clio Sed RT/ Privilège/ Botic 1.6 16V 4p,2022,11,2006,39167.0
377767,025049-0,Renault,Clio RT/ Privilège 1.6 16V 5p,2005,11,2018,14652.0
377768,025283-2,Renault,STEPWAY Iconic Flex 1.6 16V Aut.,2022,3,2021,86986.0
377769,025023-6,Renault,Safrane RXE,1995,4,2020,8424.0
377770,025147-0,Renault,Megane Coupé Cabriolet Dynamique 2.0 Aut,2022,12,2009,99633.0
377771,025005-8,Renault,Clio RT 1.6 5p,2022,3,2002,27666.0
377772,025002-3,Renault,19 RN,1998,7,2018,6831.0
377774,025080-5,Renault,Laguna Grand Tour Privilège 3.0 V6 210cv,2003,9,2006,86951.0
377775,025128-3,Renault,Kangoo Expres.SPORTWAY 1.6/1.6 Hi-Flex,2022,3,2008,48573.0
377776,025077-5,Renault,Scénic Alizé/ Expression 2.0 16V 5p,2006,7,2018,17593.0
